1, Um, Um, art
2, revivalismo, revivalismo, n
3, refrescante, refrescante, adj

1, O, O, art
2, 7, 7, num
3, e, e, conj-c
4, Meio, Meio, adv
5, e, e, conj-c
6, um, um, art
7, ex-libris, ex-libril, n
8, de, de, prp
9, a, o, art
10, noite, noite, n
11, algarvia, algarvio, adj
12, ., ., punc

1, É, ser, v
2, uma, um, num
3, de, de, prp
4, as, o, art
5, mais, mais, adv
6, antigas, antigo, adj
7, discotecas, discoteca, n
8, de, de, prp
9, o, o, art
10, Algarve, Algarve, prop
11, ,, ,, punc
12, situada, situar, v-pcp
13, em, em, prp
14, Albufeira, Albufeira, prop
15, ,, ,, punc
16, que, que, pron-indp
17, continua, continuar, v-fin
18, a, a, prp
19, manter, manter, v-inf
20, os, o, art
21, traços, traço, n
22, decorativos, decorativo, adj
23, e, e, conj-c
24, as, o, art
25, clientelas, clientela, n
26, de, de, prp
27, sempre, sempre, adv
28, ., ., punc

1, É, ser, v
2, um, um, art
3, pouco, pouco, adv
4, a, o, art
5, versão, versão, n
6, de, de, prp
7, uma, um, art
8, espécie, espécie, n
9, de, de, prp
10, «, «, «
11, outro, outro, pron-det
12, lado, lado, n
13, », », »
14, de, de, prp
15, a, o, art
16, noite, noite, n
17, ,, ,, punc
18, a, a, prp
19, meio, meio, n
20, caminho, caminho, n
21, entre, entre, prp
22, os, o, art
23, devaneios, devaneio, n
24, de, de, prp
25, uma, um, art
26, fauna, fauna, n
27, periférica, periférico, adj
28, ,, ,, punc
29, seja, ser, v-fin
30, de, de, prp
31, Lisboa, Lisboa, prop
32, ,, ,, punc
33, Londres, Londres, h:prop:londres:f_s:::
34, ,, ,, punc
35, Dublin, Dublin, h:prop:dublin:mf_s:::
36, ou, ou, co:conj-c:ou:::co-prparg:
37, Faro, Faro, h:n:faro:m_s::np-idf:
38, e, e, co:conj-c:e:::co-prparg:
39, Portimão, Portimão, h:prop:portimão:mf_s:::
40, ,, ,, punc
41, e, e, conj-c
42, a, o, art
43, postura, postura, n
44, circunspecta, circunspecto, adj
45, de, de, prp
46, os, o, art
47, fiéis, fiel, n
48, de, de, prp
49, a, o, art
50, casa, casa, n
51, ,, ,, punc
52, que, que, pron-indp
53, de, de, prp
54, ela, ele, pron-pers
55, esperam, esperar, v-fin
56, a, o, art
57, música, música, n
58, «, «, «
59, geracionista, geracionista, h:n:geracionista:f_s::np-idf:
60, », », »
61, de, de, prp
62, os, o, art
63, 60, 60, num
64, ou, ou, conj-c
65, de, de, prp
66, os, o, art
67, 70, 70, num
68, ., ., punc

1, Não, Não, adv
2, deixa, deixar, v-fin
3, de, de, prp
4, ser, ser, v-inf
5, ,, ,, punc
6, em, em, prp
7, os, o, art
8, tempos, tempo, n
9, que, que, pron-indp
10, correm, correr, v-fin
11, ,, ,, punc
12, um, um, art
13, certo, certo, pron-det
14, «, «, «
15, very, very, N
16, typical, typical, adj
17, », », »
18, algarvio, algarvio, adj
19, ,, ,, punc
20, cabeça, cabeça, h:n:cabeça:f_s::np-idf:
21, de, de, h:prp:de::::
22, cartaz, cartaz, h:n:cartaz:m_s::np-idf:
23, para, para, h:prp:para::::
24, os, os, h:pron-det:o:m_p:::
25, que, que, h:pron-indp:que:m_p::rel:
26, querem, querer, v-fin
27, fugir, fugir, v-inf
28, a, o, art
29, algumas, algum, pron-det
30, movimentações, movimentação, n
31, nocturnas, nocturno, adj
32, já, já, adv
33, a, a, prp
34, caminho, caminho, n
35, de, de, prp
36, a, o, art
37, ritualização, ritualização, n
38, de, de, prp
39, massas, massa, n
40, ,, ,, punc
41, de, de, prp
42, o, o, art
43, género, género, n
44, «, «, «
45, vamos, ir, v-fin
46, todos, todo, pron-det
47, a, a, prp
48, o, o, art
49, Calypso, Calypso, prop
50, e, e, conj-c
51, a, a, prp
52, nós, nós, pron-pers
53, eles, ele, pron-pers
54, encontramo-, encontrar, v-fin
55, em, em, prp
56, a, o, art
57, Locomia, Locomia, prop
58, », », »
59, ., ., punc

1, E, E, kc
2, assim, assim, adv
3, ,, ,, punc
4, a, a, prp
5, os, o, art
6, 2,5, 2,5, num
7, milhões, milhão, n
8, que, que, pron-indp
9, o, o, art
10, Ministério, Ministério, n
11, de, de, prp
12, o, o, art
13, Planeamento, Planeamento, n
14, e, e, conj-c
15, Administração, Administração, n
16, de, de, prp
17, o, o, art
18, Território, Território, n
19, já, já, adv
20, gasta, gastar, v-fin
21, em, em, prp
22, o, o, art
23, pagamento, pagamento, n
24, de, de, prp
25, o, o, art
26, pessoal, pessoal, n
27, afecto, afectar, v-pcp
28, a, a, prp
29, estes, este, pron-det
30, organismos, organismo, n
31, ,, ,, punc
32, vêm, vêm, aux:v-fin:vir:pr_3p_ind:::
33, se, se, pron-pers
34, juntar-, juntar, v-fin
35, os, o, art
36, montantes, montante, n
37, de, de, prp
